token	corpus size	all contexts size	frequency	co-frequency	specificity
Естественный	127720	2594	13	13	22.01
рассеянный	127720	2594	11	11	18.62
солнечный	127720	2594	17	11	14.58
свет	127720	2594	367	34	12.52
белый	127720	2594	50	14	12.05
естественный	127720	2594	11	8	11.35
холодный	127720	2594	16	9	11.24
основной	127720	2594	19	9	10.36
Ева	127720	2594	6	6	10.16
теплый	127720	2594	15	8	9.80
влияет	127720	2594	52	12	9.36
Теплый	127720	2594	7	6	9.32
как	127720	2594	511	33	8.17
такое	127720	2594	41	10	8.16
создается	127720	2594	10	6	7.87
который	127720	2594	72	12	7.66
интерьере	127720	2594	37	9	7.39
берется	127720	2594	4	4	6.77
Солнечный	127720	2594	8	5	6.74
энергия	127720	2594	19	6	5.84
это	127720	2594	338	22	5.78
через	127720	2594	49	8	5.25
дает	127720	2594	14	5	5.24
Что	127720	2594	67	9	5.12
слабый	127720	2594	3	3	5.08
дневной	127720	2594	3	3	5.08
излучать	127720	2594	3	3	5.08
божий	127720	2594	3	3	5.08
лунный	127720	2594	3	3	5.08
подобранный	127720	2594	3	3	5.08
холоднее	127720	2594	3	3	5.08
Холодный	127720	2594	3	3	5.08
серотонина	127720	2594	3	3	5.08
видел	127720	2594	8	4	4.96
Основной	127720	2594	9	4	4.71
про	127720	2594	31	6	4.51
нейтральный	127720	2594	10	4	4.50
видимый	127720	2594	4	3	4.48
мягкий	127720	2594	4	3	4.48
задаёт	127720	2594	4	3	4.48
источника	127720	2594	20	5	4.41
яркий	127720	2594	12	4	4.15
откуда	127720	2594	5	3	4.10
интерьеру	127720	2594	5	3	4.10
Как	127720	2594	142	11	3.89
искусственный	127720	2594	6	3	3.80
излучает	127720	2594	6	3	3.80
должен	127720	2594	15	4	3.73
Чем	127720	2594	15	4	3.73
почти	127720	2594	28	5	3.68
а	127720	2594	320	17	3.63
он	127720	2594	154	11	3.59
Лента	127720	2594	17	4	3.51
судья	127720	2594	2	2	3.38
эпитеты	127720	2594	2	2	3.38
фотонам	127720	2594	2	2	3.38
Независимо	127720	2594	2	2	3.38
знаменитый	127720	2594	2	2	3.38
мала	127720	2594	2	2	3.38
обычный	127720	2594	2	2	3.38
Теплоту	127720	2594	2	2	3.38
Хаотичный	127720	2594	2	2	3.38
контрастный	127720	2594	2	2	3.38
смесь	127720	2594	2	2	3.38
категорию	127720	2594	2	2	3.38
предл	127720	2594	2	2	3.38
Ключевой	127720	2594	2	2	3.38
атмосферность	127720	2594	2	2	3.38
желто	127720	2594	2	2	3.38
справа	127720	2594	2	2	3.38
неоновый	127720	2594	2	2	3.38
Резкий	127720	2594	2	2	3.38
удобен	127720	2594	2	2	3.38
попадать	127720	2594	2	2	3.38
Правильно	127720	2594	8	3	3.37
что	127720	2594	505	22	3.32
на	127720	2594	1362	45	3.27
видеть	127720	2594	20	4	3.23
объект	127720	2594	9	3	3.21
равномерно	127720	2594	9	3	3.21
